File_name,Type,Objective_value,C_max,C_avg,Timeline
prev_Truck_20_LP_40_50_10_14rep.csv,Min,34276,415.64,381.9956,
now_Truck_20_LP_40_50_10_14rep.csv,Min,31557,423.952,375.7064,
prev_Truck_20_LP_0_0_100_14rep.csv,Middle,103200,483.064,428.5132,
now_Truck_20_LP_0_0_100_14rep.csv,Middle,99400,471.248,416.9392,
prev_Truck_20_LP_40_50_10_14rep.csv,Middle,52469,475.04,420.8944,
now_Truck_20_LP_40_50_10_14rep.csv,Middle,48747,468.424,416.706,
prev_Truck_20_LP_0_0_100_14rep.csv,Max,119000,494.64,444.3348,
now_Truck_20_LP_0_0_100_14rep.csv,Max,111600,480.624,433.8128,
prev_Truck_20_LP_40_50_10_14rep.csv,Max,61280,506.52,448.3728,
now_Truck_20_LP_40_50_10_14rep.csv,Max,52190,484.48,434.896,
prev_Truck_20_LP_0_0_100_15rep.csv,Min,54200,400.464,370.8236,
now_Truck_20_LP_0_0_100_15rep.csv,Min,67000,429.08,382.5288,
prev_Truck_20_LP_40_50_10_15rep.csv,Min,29711,393.544,368.4708,
now_Truck_20_LP_40_50_10_15rep.csv,Min,33683,453.144,387.0996,
prev_Truck_20_LP_0_0_100_15rep.csv,Middle,89400,451.896,404.9352,
now_Truck_20_LP_0_0_100_15rep.csv,Middle,99800,462.872,416.4232,
prev_Truck_20_LP_40_50_10_15rep.csv,Middle,46750,446.944,406.2668,
now_Truck_20_LP_40_50_10_15rep.csv,Middle,51110,472.224,420.8548,
prev_Truck_20_LP_0_0_100_15rep.csv,Max,105400,466.792,422.546,
now_Truck_20_LP_0_0_100_15rep.csv,Max,117000,535.224,448.0512,
prev_Truck_20_LP_40_50_10_15rep.csv,Max,54374,458.736,423.6068,
now_Truck_20_LP_40_50_10_15rep.csv,Max,58633,503.216,443.4024,
prev_Truck_20_LP_0_0_100_16rep.csv,Min,55200,442.696,373.5204,
now_Truck_20_LP_0_0_100_16rep.csv,Min,51200,400.728,366.3804,
prev_Truck_20_LP_40_50_10_16rep.csv,Min,31623,416.4,370.9656,
now_Truck_20_LP_40_50_10_16rep.csv,Min,25219,410.032,367.9084,
prev_Truck_20_LP_0_0_100_16rep.csv,Middle,97200,474.152,416.2048,
now_Truck_20_LP_0_0_100_16rep.csv,Middle,88000,467.952,402.9156,
prev_Truck_20_LP_40_50_10_16rep.csv,Middle,52434,462.056,414.2268,
now_Truck_20_LP_40_50_10_16rep.csv,Middle,43291,443.176,403.0012,
prev_Truck_20_LP_0_0_100_16rep.csv,Max,115800,505.912,434.2088,
now_Truck_20_LP_0_0_100_16rep.csv,Max,101800,503.768,419.428,
prev_Truck_20_LP_40_50_10_16rep.csv,Max,60856,501.92,438.5912,
now_Truck_20_LP_40_50_10_16rep.csv,Max,52958,480.408,423.992,
prev_Truck_20_LP_0_0_100_17rep.csv,Min,59800,568.248,398.7308,
now_Truck_20_LP_0_0_100_17rep.csv,Min,52200,437.952,371.5192,
prev_Truck_20_LP_40_50_10_17rep.csv,Min,33706,417.36,377.698,
now_Truck_20_LP_40_50_10_17rep.csv,Min,26107,407.224,366.0452,
prev_Truck_20_LP_0_0_100_17rep.csv,Middle,97800,470.992,416.5428,
now_Truck_20_LP_0_0_100_17rep.csv,Middle,87000,449.128,401.1276,
prev_Truck_20_LP_40_50_10_17rep.csv,Middle,50311,472.104,415.7204,
now_Truck_20_LP_40_50_10_17rep.csv,Middle,46210,486.592,401.7384,
prev_Truck_20_LP_0_0_100_17rep.csv,Max,110000,457.672,425.6036,
now_Truck_20_LP_0_0_100_17rep.csv,Max,104000,488,419.1612,
prev_Truck_20_LP_40_50_10_17rep.csv,Max,57845,487.656,427.5032,
now_Truck_20_LP_40_50_10_17rep.csv,Max,53560,474.648,423.0188,
prev_Truck_20_LP_0_0_100_18rep.csv,Min,58800,452.08,384.8884,
now_Truck_20_LP_0_0_100_18rep.csv,Min,60600,427.72,377.888,
prev_Truck_20_LP_40_50_10_18rep.csv,Min,33670,434.936,379.4824,
now_Truck_20_LP_40_50_10_18rep.csv,Min,31531,425.184,376.4884,
prev_Truck_20_LP_0_0_100_18rep.csv,Middle,98400,473.536,430.6708,
now_Truck_20_LP_0_0_100_18rep.csv,Middle,101600,471.952,424.5484,
prev_Truck_20_LP_40_50_10_18rep.csv,Middle,53392,456.896,421.5412,
now_Truck_20_LP_40_50_10_18rep.csv,Middle,48335,470.448,421.726,
prev_Truck_20_LP_0_0_100_18rep.csv,Max,116200,490.672,439.6556,
now_Truck_20_LP_0_0_100_18rep.csv,Max,117800,527.44,441.782,
prev_Truck_20_LP_40_50_10_18rep.csv,Max,60661,499.872,436.99,
now_Truck_20_LP_40_50_10_18rep.csv,Max,58985,543.408,447.0808,
prev_Truck_20_LP_0_0_100_19rep.csv,Min,56600,404.28,374.0372,
now_Truck_20_LP_0_0_100_19rep.csv,Min,55000,408.76,372.76,
prev_Truck_20_LP_40_50_10_19rep.csv,Min,31201,424.216,374.4244,
now_Truck_20_LP_40_50_10_19rep.csv,Min,29648,400.16,370.8588,
prev_Truck_20_LP_0_0_100_19rep.csv,Middle,95600,451.832,413.1756,
now_Truck_20_LP_0_0_100_19rep.csv,Middle,88600,466.656,405.9552,
prev_Truck_20_LP_40_50_10_19rep.csv,Middle,49169,458.096,412.1096,
now_Truck_20_LP_40_50_10_19rep.csv,Middle,44628,447.344,405.7032,
prev_Truck_20_LP_0_0_100_19rep.csv,Max,112400,500.224,442.38,
now_Truck_20_LP_0_0_100_19rep.csv,Max,104200,526.728,430.9284,
prev_Truck_20_LP_40_50_10_19rep.csv,Max,56993,474.568,429.8168,
now_Truck_20_LP_40_50_10_19rep.csv,Max,51653,479.936,424.1048,
prev_Truck_20_LP_0_0_100_20rep.csv,Min,64400,430.8,379.9712,
now_Truck_20_LP_0_0_100_20rep.csv,Min,57800,418.064,374.1192,
prev_Truck_20_LP_40_50_10_20rep.csv,Min,36958,432.672,382.6256,
now_Truck_20_LP_40_50_10_20rep.csv,Min,27338,398.592,372.174,
prev_Truck_20_LP_0_0_100_20rep.csv,Middle,101800,479.488,420.3092,
now_Truck_20_LP_0_0_100_20rep.csv,Middle,98400,486.808,417.3548,
prev_Truck_20_LP_40_50_10_20rep.csv,Middle,52112,484.68,419.9136,
now_Truck_20_LP_40_50_10_20rep.csv,Middle,48319,458.872,421.6148,
prev_Truck_20_LP_0_0_100_20rep.csv,Max,112800,490.896,439.8356,
now_Truck_20_LP_0_0_100_20rep.csv,Max,115600,490.912,435.968,
prev_Truck_20_LP_40_50_10_20rep.csv,Max,59834,480.576,437.98,
now_Truck_20_LP_40_50_10_20rep.csv,Max,62918,505.376,440.5596,
