Filename,Type,Objective_value,C_max
prev_Truck_20_LP_0_0_100_16rep.csv, Middle,97200,
now_Truck_20_LP_0_0_100_16rep.csv, Middle,88000,
prev_Truck_20_LP_40_50_10_16rep.csv, Middle,52434,
now_Truck_20_LP_40_50_10_16rep.csv, Middle,43291,
prev_Truck_20_LP_0_0_100_16rep.csv, Max,115800,
now_Truck_20_LP_0_0_100_16rep.csv, Max,101800,
prev_Truck_20_LP_40_50_10_16rep.csv, Max,60856,
now_Truck_20_LP_40_50_10_16rep.csv, Max,52958,
prev_Truck_20_LP_0_0_100_17rep.csv, Min,59800,
now_Truck_20_LP_0_0_100_17rep.csv, Min,52200,
prev_Truck_20_LP_40_50_10_17rep.csv, Min,33706,
now_Truck_20_LP_40_50_10_17rep.csv, Min,26107,
prev_Truck_20_LP_0_0_100_17rep.csv, Middle,97800,
now_Truck_20_LP_0_0_100_17rep.csv, Middle,87000,
prev_Truck_20_LP_40_50_10_17rep.csv, Middle,50311,
now_Truck_20_LP_40_50_10_17rep.csv, Middle,46210,
prev_Truck_20_LP_0_0_100_17rep.csv, Max,110000,
now_Truck_20_LP_0_0_100_17rep.csv, Max,104000,
prev_Truck_20_LP_40_50_10_17rep.csv, Max,57845,
now_Truck_20_LP_40_50_10_17rep.csv, Max,53560,
prev_Truck_20_LP_0_0_100_18rep.csv, Min,58800,
now_Truck_20_LP_0_0_100_18rep.csv, Min,60600,
prev_Truck_20_LP_40_50_10_18rep.csv, Min,33670,
now_Truck_20_LP_40_50_10_18rep.csv, Min,31531,
prev_Truck_20_LP_0_0_100_18rep.csv, Middle,98400,
now_Truck_20_LP_0_0_100_18rep.csv, Middle,101600,
prev_Truck_20_LP_40_50_10_18rep.csv, Middle,53392,
now_Truck_20_LP_40_50_10_18rep.csv, Middle,48335,
prev_Truck_20_LP_0_0_100_18rep.csv, Max,116200,
now_Truck_20_LP_0_0_100_18rep.csv, Max,117800,
prev_Truck_20_LP_40_50_10_18rep.csv, Max,60661,
now_Truck_20_LP_40_50_10_18rep.csv, Max,58985,
prev_Truck_20_LP_0_0_100_19rep.csv, Min,56600,
now_Truck_20_LP_0_0_100_19rep.csv, Min,55000,
prev_Truck_20_LP_40_50_10_19rep.csv, Min,31201,
now_Truck_20_LP_40_50_10_19rep.csv, Min,29648,
prev_Truck_20_LP_0_0_100_19rep.csv, Middle,95600,
now_Truck_20_LP_0_0_100_19rep.csv, Middle,88600,
prev_Truck_20_LP_40_50_10_19rep.csv, Middle,49169,
now_Truck_20_LP_40_50_10_19rep.csv, Middle,44628,
prev_Truck_20_LP_0_0_100_19rep.csv, Max,112400,
now_Truck_20_LP_0_0_100_19rep.csv, Max,104200,
prev_Truck_20_LP_40_50_10_19rep.csv, Max,56993,
now_Truck_20_LP_40_50_10_19rep.csv, Max,51653,
prev_Truck_20_LP_0_0_100_20rep.csv, Min,64400,
now_Truck_20_LP_0_0_100_20rep.csv, Min,57800,
prev_Truck_20_LP_40_50_10_20rep.csv, Min,36958,
now_Truck_20_LP_40_50_10_20rep.csv, Min,27338,
prev_Truck_20_LP_0_0_100_20rep.csv, Middle,101800,
now_Truck_20_LP_0_0_100_20rep.csv, Middle,98400,
prev_Truck_20_LP_40_50_10_20rep.csv, Middle,52112,
now_Truck_20_LP_40_50_10_20rep.csv, Middle,48319,
prev_Truck_20_LP_0_0_100_20rep.csv, Max,112800,
now_Truck_20_LP_0_0_100_20rep.csv, Max,115600,
prev_Truck_20_LP_40_50_10_20rep.csv, Max,59834,
now_Truck_20_LP_40_50_10_20rep.csv, Max,62918,
